"count","origin","origin_city_name","origin_airport_id"
790253,"ORD","Chicago, IL",13930
785850,"ATL","Atlanta, GA",10397
584688,"DFW","Dallas/Fort Worth, TX",11298
552134,"DEN","Denver, CO",11292
501557,"CLT","Charlotte, NC",11057
500840,"LAX","Los Angeles, CA",12892
379367,"SEA","Seattle, WA",14747
357626,"SFO","San Francisco, CA",14771
355485,"PHX","Phoenix, AZ",14107
354379,"IAH","Houston, TX",12266
351618,"DTW","Detroit, MI",11433
342443,"LGA","New York, NY",12953
332518,"LAS","Las Vegas, NV",12889
324301,"MSP","Minneapolis, MN",13487
320572,"EWR","Newark, NJ",11618
310935,"PHL","Philadelphia, PA",14100
302247,"BOS","Boston, MA",10721
287057,"DCA","Washington, DC",11278
281343,"MCO","Orlando, FL",13204
257214,"JFK","New York, NY",12478
239729,"SLC","Salt Lake City, UT",14869
213120,"BWI","Baltimore, MD",10821
195877,"FLL","Fort Lauderdale, FL",11697
194988,"SAN","San Diego, CA",14679
185901,"IAD","Washington, DC",12264
177075,"MIA","Miami, FL",13303
173887,"PDX","Portland, OR",14057
171779,"MDW","Chicago, IL",13232
159573,"BNA","Nashville, TN",10693
151869,"TPA","Tampa, FL",15304
149988,"STL","St. Louis, MO",15016
145620,"DAL","Dallas, TX",11259
136985,"RDU","Raleigh/Durham, NC",14492
134421,"SJC","San Jose, CA",14831
130489,"AUS","Austin, TX",10423
118063,"HOU","Houston, TX",12191
114148,"MSY","New Orleans, LA",13495
113328,"MCI","Kansas City, MO",13198
110307,"SMF","Sacramento, CA",14893
109709,"HNL","Honolulu, HI",12173
107776,"OAK","Oakland, CA",13796
103943,"IND","Indianapolis, IN",12339
103899,"CLE","Cleveland, OH",11042
103360,"CVG","Cincinnati, OH",11193
100854,"PIT","Pittsburgh, PA",14122
98562,"CMH","Columbus, OH",11066
89454,"SNA","Santa Ana, CA",14908
83943,"SAT","San Antonio, TX",14683
71880,"MKE","Milwaukee, WI",13342
68219,"JAX","Jacksonville, FL",12451
66741,"RSW","Fort Myers, FL",14635
60254,"BUR","Burbank, CA",10800
60244,"BDL","Hartford, CT",10529
58429,"BUF","Buffalo, NY",10792
57614,"RIC","Richmond, VA",14524
55082,"SDF","Louisville, KY",14730
54610,"OMA","Omaha, NE",13871
54363,"ABQ","Albuquerque, NM",10140
52907,"CHS","Charleston, SC",10994
52883,"OGG","Kahului, HI",13830
52872,"MEM","Memphis, TN",13244
52673,"ORF","Norfolk, VA",13931
51329,"SJU","San Juan, PR",14843
51314,"PBI","West Palm Beach/Palm Beach, FL",14027
50613,"OKC","Oklahoma City, OK",13851
50161,"BOI","Boise, ID",10713
45457,"RNO","Reno, NV",14570
44720,"ONT","Ontario, CA",13891
43800,"GEG","Spokane, WA",11884
42417,"GRR","Grand Rapids, MI",11986
41150,"BHM","Birmingham, AL",10599
40679,"PVD","Providence, RI",14307
39598,"TYS","Knoxville, TN",15412
39296,"ANC","Anchorage, AK",10299
38645,"TUS","Tucson, AZ",15376
38078,"ELP","El Paso, TX",11540
37748,"ROC","Rochester, NY",14576
36177,"SAV","Savannah, GA",14685
36149,"TUL","Tulsa, OK",15370
35555,"DSM","Des Moines, IA",11423
35401,"GSO","Greensboro/High Point, NC",11995
34953,"SYR","Syracuse, NY",15096
34635,"ALB","Albany, NY",10257
34476,"GSP","Greer, SC",11996
34247,"DAY","Dayton, OH",11267
32959,"LGB","Long Beach, CA",12954
31263,"MSN","Madison, WI",13485
30565,"KOA","Kona, HI",12758
29889,"PWM","Portland, ME",14321
29713,"XNA","Fayetteville, AR",15919
29369,"LIT","Little Rock, AR",12992
28262,"LIH","Lihue, HI",12982
24766,"FAT","Fresno, CA",11638
24577,"LEX","Lexington, KY",12945
24320,"PNS","Pensacola, FL",14193
24161,"HPN","White Plains, NY",12197
23967,"MYR","Myrtle Beach, SC",13577
23700,"BTV","Burlington, VT",10785
23456,"ICT","Wichita, KS",12278
23103,"PSP","Palm Springs, CA",14262
22761,"MHT","Manchester, NH",13296
21912,"COS","Colorado Springs, CO",11109
21832,"MDT","Harrisburg, PA",13230
21697,"CAE","Columbia, SC",10868
21520,"HSV","Huntsville, AL",12217
20958,"SGF","Springfield, MO",14783
20716,"CID","Cedar Rapids/Iowa City, IA",11003
20325,"SFB","Sanford, FL",14761
19546,"CHA","Chattanooga, TN",10980
18864,"MAF","Midland/Odessa, TX",13158
18666,"AVL","Asheville, NC",10431
17544,"MFR","Medford, OR",13264
17393,"EUG","Eugene, OR",11603
17290,"CHO","Charlottesville, VA",10990
17258,"ILM","Wilmington, NC",12323
16962,"RDM","Bend/Redmond, OR",14489
16739,"FSD","Sioux Falls, SD",11775
16647,"VPS","Valparaiso, FL",15624
16637,"JAN","Jackson/Vicksburg, MS",12448
16468,"CAK","Akron, OH",10874
15931,"BZN","Bozeman, MT",10849
15242,"BTR","Baton Rouge, LA",10781
15205,"PIE","St. Petersburg, FL",14112
15190,"SBA","Santa Barbara, CA",14689
15137,"FWA","Fort Wayne, IN",11823
14873,"SRQ","Sarasota/Bradenton, FL",14986
14733,"SBN","South Bend, IN",14696
