"fl_date","number_of_fl"
"2018-01-01",19123
"2018-01-02",21365
"2018-01-03",20147
"2018-01-04",16626
"2018-01-05",19490
"2018-01-06",17002
"2018-01-07",20106
"2018-01-08",20188
"2018-01-09",19506
"2018-01-10",20223
"2018-01-11",20770
"2018-01-12",19982
"2018-01-13",15740
"2018-01-14",18093
"2018-01-15",20397
"2018-01-16",18362
"2018-01-17",18191
"2018-01-18",20244
"2018-01-19",21122
"2018-01-20",16101
"2018-01-21",19098
"2018-01-22",20181
"2018-01-23",19580
"2018-01-24",20395
"2018-01-25",21085
"2018-01-26",21220
"2018-01-27",16109
"2018-01-28",19584
"2018-01-29",20936
"2018-01-30",19819
"2018-01-31",20434
"2018-02-01",21150
"2018-02-02",21306
"2018-02-03",16026
"2018-02-04",17913
"2018-02-05",21118
"2018-02-06",19944
"2018-02-07",20500
"2018-02-08",21142
"2018-02-09",21281
"2018-02-10",16220
"2018-02-11",19715
"2018-02-12",21098
"2018-02-13",19967
"2018-02-14",19514
"2018-02-15",21595
"2018-02-16",21814
"2018-02-17",17101
"2018-02-18",19228
"2018-02-19",21662
"2018-02-20",21221
"2018-02-21",21412
"2018-02-22",21740
"2018-02-23",21792
"2018-02-24",17451
"2018-02-25",20623
"2018-02-26",21724
"2018-02-27",21225
"2018-02-28",21409
"2018-03-01",21750
"2018-03-02",21984
"2018-03-03",17535
"2018-03-04",20662
"2018-03-05",21920
"2018-03-06",21409
"2018-03-07",21662
"2018-03-08",22169
"2018-03-09",22403
"2018-03-10",18651
"2018-03-11",21651
"2018-03-12",22428
"2018-03-13",21960
"2018-03-14",22172
"2018-03-15",22501
"2018-03-16",22516
"2018-03-17",18761
"2018-03-18",21712
"2018-03-19",22431
"2018-03-20",21968
"2018-03-21",22178
"2018-03-22",22509
"2018-03-23",22515
"2018-03-24",18732
"2018-03-25",21705
"2018-03-26",22441
"2018-03-27",21964
"2018-03-28",22162
"2018-03-29",22448
"2018-03-30",22441
"2018-03-31",18434
"2018-04-01",21258
"2018-04-02",22360
"2018-04-03",21807
"2018-04-04",22028
"2018-04-05",22418
"2018-04-06",22443
"2018-04-07",18429
"2018-04-08",21638
"2018-04-09",22556
"2018-04-10",21767
"2018-04-11",22127
"2018-04-12",22618
"2018-04-13",22673
"2018-04-14",17950
"2018-04-15",21618
"2018-04-16",22628
"2018-04-17",21699
"2018-04-18",22064
"2018-04-19",22627
"2018-04-20",22677
"2018-04-21",18003
"2018-04-22",21715
"2018-04-23",22634
"2018-04-24",21680
"2018-04-25",21955
"2018-04-26",22582
"2018-04-27",22655
"2018-04-28",18042
"2018-04-29",21740
"2018-04-30",22596
"2018-05-01",21706
"2018-05-02",21992
"2018-05-03",22598
"2018-05-04",22659
"2018-05-05",18100
"2018-05-06",21862
"2018-05-07",22725
"2018-05-08",21926
"2018-05-09",22177
"2018-05-10",22718
"2018-05-11",22777
"2018-05-12",17881
"2018-05-13",21338
"2018-05-14",22756
"2018-05-15",21972
"2018-05-16",22281
"2018-05-17",22763
"2018-05-18",22825
"2018-05-19",18196
"2018-05-20",21957
"2018-05-21",22818
"2018-05-22",22088
"2018-05-23",22370
"2018-05-24",22900
"2018-05-25",22962
"2018-05-26",17933
"2018-05-27",18306
"2018-05-28",21519
"2018-05-29",22258
"2018-05-30",22496
"2018-05-31",22829
"2018-06-01",22869
"2018-06-02",18325
"2018-06-03",22008
"2018-06-04",22886
"2018-06-05",22248
"2018-06-06",22516
"2018-06-07",23458
"2018-06-08",23697
